|-------|----------|-----------------|
| Score | Count    | Probability (%) |
|-------|----------|-----------------|
|     0 |     7124 |            0.71 |
|     2 |    46423 |            4.64 |
|     4 |    80117 |            8.01 |
|     6 |    94003 |            9.40 |
|     8 |    97914 |            9.79 |
|    10 |   100104 |           10.01 |
|    12 |    98555 |            9.86 |
|    14 |    93024 |            9.30 |
|    16 |    84940 |            8.49 |
|    18 |    73954 |            7.40 |
|    20 |    62055 |            6.21 |
|    22 |    50264 |            5.03 |
|    24 |    38095 |            3.81 |
|    26 |    27367 |            2.74 |
|    28 |    18761 |            1.88 |
|    30 |    12116 |            1.21 |
|    32 |     7413 |            0.74 |
|    34 |     4043 |            0.40 |
|    36 |     2073 |            0.21 |
|    38 |      984 |            0.10 |
|    40 |      453 |            0.05 |
|    42 |      151 |            0.02 |
|    44 |       51 |            0.01 |
|    46 |       15 |            0.00 |
|    48 |        1 |            0.00 |
|    50 |        0 |            0.00 |
|-------|----------|-----------------|
